logFC,AveExpr,t,P.Value,adj.P.Val,B,comp,geneIDs
-11.5040615,21.06823025,-18.0232207384,0.0010442613,0.0996329785,0.3482072087,Male/Female,g8561
-5.6524735,3.62741875,-17.9962127332,0.001048154,0.0996329785,0.3453651195,Male/Female,g1174
36.460938,100.26239,17.9629138951,0.0010529815,0.0996329785,0.3418499544,Male/Female,g12917
6.854851,26.5000935,17.9156383903,0.0010598888,0.0996329785,0.3368382324,Male/Female,g935
-3.9330625,2.70934225,-17.8960022406,0.0010627764,0.0996329785,0.3347492681,Male/Female,g10248
11.134943,16.7517605,17.862311757,0.0010677564,0.0996329785,0.3311551039,Male/Female,g19057
150.0828395,284.64490525,17.8525076444,0.0010692118,0.0996329785,0.330106791,Male/Female,g9171
-3.164019,1.6956075,-17.8253652743,0.0010732554,0.0996329785,0.3271989284,Male/Female,g16013
46.7579675,39.67548625,17.8165700841,0.0010745703,0.0996329785,0.3262548853,Male/Female,g18680
20.4416235,27.25910975,17.7942937293,0.0010779106,0.0996329785,0.3238599121,Male/Female,g5628
-7.3862645,20.43847575,-17.7856869706,0.0010792051,0.0996329785,0.3229330783,Male/Female,g736
-444.93248,424.5582045,-17.7560267224,0.0010836828,0.0996329785,0.31973262,Male/Female,g20442
38.003822,59.1638335,17.754453777,0.001083921,0.0996329785,0.3195626136,Male/Female,g10429
-52.444604,30.790708,-17.7183526673,0.0010894079,0.0996329785,0.3156529925,Male/Female,g17343
-3.6607625,15.35654225,-17.7101216723,0.0010906643,0.0996329785,0.31475952,Male/Female,g16260
15.415119,27.79904,17.6862807153,0.001094315,0.0996329785,0.3121672073,Male/Female,g2895
-5.549622,9.1910705,-17.6352342043,0.0011021892,0.0996329785,0.3065947471,Male/Female,g17608
4.985381,5.3728595,17.5793745115,0.001110897,0.0996329785,0.3004623092,Male/Female,g8305
42.126934,65.703146,17.5739435509,0.0011117488,0.0996329785,0.2998641474,Male/Female,g7214
2.5044175,3.18403575,17.5692974936,0.0011124781,0.0996329785,0.2993521613,Male/Female,g17566
-7.595203,5.614647,-17.556212872,0.0011145358,0.0996329785,0.2979089082,Male/Female,g5844
73.6795905,95.54655725,17.505303694,0.0011225927,0.0996329785,0.2922744777,Male/Female,g17220
4.2546565,11.41518625,17.468509595,0.0011284665,0.0996329785,0.2881832734,Male/Female,g20644
-23.558261,13.811277,-17.4577068438,0.0011301992,0.0996329785,0.2869790587,Male/Female,g13345
-15.972879,14.855941,-17.4007558754,0.0011393956,0.0996329785,0.2806076712,Male/Female,g4595
10.8750465,26.02936025,17.3936882344,0.0011405442,0.0996329785,0.2798142857,Male/Female,g482
-249.4358505,202.25270175,-17.3858015346,0.0011418278,0.0996329785,0.2789282516,Male/Female,g20463
10.4548685,8.03969325,17.3854255317,0.0011418891,0.0996329785,0.2788859908,Male/Female,g2118
21.6752965,48.74501425,17.3681973994,0.0011447002,0.0996329785,0.2769478251,Male/Female,g16118
31.810993,90.2293645,17.3307979052,0.0011508363,0.0996329785,0.272728128,Male/Female,g5506
-372.0629195,396.99310725,-17.3166490099,0.0011531696,0.0996329785,0.2711273541,Male/Female,g19015
-2.452966,1.226483,-17.2661833085,0.0011615462,0.0997649439,0.2653980759,Male/Female,g16932
3.2351285,1.75439575,17.2523748348,0.0011638531,0.0997649439,0.2638250439,Male/Female,g20319
3.1877935,2.69732825,17.1823785113,0.0011756457,0.0997649439,0.2558154307,Male/Female,g15684
-13.117301,10.615947,-17.1656944081,0.0011784812,0.0997649439,0.253897424,Male/Female,g4184
-4.4623265,2.44917225,-17.1652845908,0.0011785509,0.0997649439,0.2538502682,Male/Female,g438
25.694859,13.1422585,17.0651120305,0.0011957795,0.0997649439,0.2422615919,Male/Female,g2210
-5.716827,3.69162,-17.0588544972,0.0011968674,0.0997649439,0.2415335386,Male/Female,g20710
-26.919803,13.4599015,-17.0534987255,0.0011977996,0.0997649439,0.2409100154,Male/Female,g19473
51.0032545,139.83641625,16.9774466674,0.0012111473,0.0997649439,0.2320171716,Male/Female,g669
568.3972585,363.45618625,16.9714961868,0.0012122004,0.0997649439,0.2313183057,Male/Female,g1885
7.605076,86.194849,16.9067358463,0.0012237448,0.0997649439,0.223683399,Male/Female,g3493
-13.922817,9.0074715,-16.8970408119,0.0012254863,0.0997649439,0.2225358169,Male/Female,g2381
